ALARA 2.9.2
Set verbose level to 2.
Opened tree file output/sample3.tree.
	Opened sample3 for input.
Starting problem input processing.
	Reading input.
	Cross-checking input for completeness and self-consistency.


***Please review this schedule hierarchy.!!!!!!!!!!

Schedule 'total':
	pulse: 1 s with 0 s delay pulsed with history pulsed_spec

***End of schedule hierarchy.


	Preprocessing input.
Starting problem solution.
	Solved problem.
	Reset binary dump with 5 results per isotope.
Zone output requested:
	Response Units: Bq /cm3
	Break-down by Constituent
	Total Decay Heat [W/cm3]


*** Total Decay Heat [W/cm3] ***
ar-42 	2.4001e-10  2.4001e-10  2.3999e-10  2.4001e-10  2.3503e-10  
ar-43 	8.7414e-04  8.7226e-04  0.0000e+00  7.6822e-04  0.0000e+00  
ar-44 	2.1442e-05  2.1421e-05  6.1918e-42  2.0225e-05  0.0000e+00  
ar-45 	3.8763e-04  3.7532e-04  0.0000e+00  5.5918e-05  0.0000e+00  
k-38 	3.7535e+00  3.7478e+00  0.0000e+00  3.4267e+00  0.0000e+00  
k-38m	1.1315e+01  5.3439e+00  0.0000e+00  3.2081e-19  0.0000e+00  
k-40 	3.7290e-12  3.7290e-12  3.7290e-12  3.7290e-12  3.7290e-12  
k-42 	6.0185e-02  6.0184e-02  1.5683e-02  6.0128e-02  0.0000e+00  
k-43 	1.7014e-03  1.7014e-03  8.0493e-04  1.7007e-03  0.0000e+00  
k-44 	1.0686e+00  1.0680e+00  2.7592e-20  1.0356e+00  0.0000e+00  
k-45 	1.7534e-03  1.7524e-03  1.7189e-28  1.6885e-03  0.0000e+00  
k-46 	5.7022e-03  5.6607e-03  0.0000e+00  3.6806e-03  0.0000e+00  
k-47 	2.1432e-03  2.0599e-03  0.0000e+00  1.9905e-04  0.0000e+00  
k-48 	4.0181e-01  3.6287e-01  0.0000e+00  8.8689e-04  0.0000e+00  
ca-41 	9.5473e-11  9.5473e-11  9.5473e-11  9.5473e-11  9.5472e-11  
ca-45 	2.3187e-05  2.3187e-05  2.3092e-05  2.3187e-05  4.9185e-06  
ca-47 	2.4545e-03  2.4545e-03  2.1068e-03  2.4543e-03  1.7534e-27  
ca-49 	3.5909e+00  3.5862e+00  0.0000e+00  3.3165e+00  0.0000e+00  
sc-43 	8.2038e-10  8.2034e-10  1.1417e-11  8.1794e-10  0.0000e+00  
sc-44 	3.0390e-06  3.0388e-06  1.4255e-07  3.0304e-06  5.8864e-13  
sc-44m	1.4441e-08  1.4441e-08  1.0872e-08  1.4438e-08  0.0000e+00  
sc-45m	1.0365e-02  1.1559e-03  0.0000e+00  0.0000e+00  0.0000e+00  
sc-46 	6.5668e-06  6.6037e-06  7.5186e-06  7.4712e-06  3.7365e-07  
sc-46m	2.6357e-02  2.5398e-02  0.0000e+00  2.8512e-03  0.0000e+00  
sc-47 	1.8175e-05  1.8176e-05  9.6693e-05  1.8240e-05  3.2463e-38  
sc-48 	9.3301e-04  9.3300e-04  6.3745e-04  9.3276e-04  0.0000e+00  
sc-49 	4.7356e-03  4.8816e-03  3.5831e-09  1.3109e-02  0.0000e+00  
